DATAFLOW,LAST UPDATE,freq,unit,airpol,src_nfr,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 2.5µm,National total for the entire territory (based on fuel sold),Austria,2013,18352,,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 2.5µm,National total for the entire territory (based on fuel sold),Austria,2014,16778,,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 2.5µm,National total for the entire territory (based on fuel sold),Austria,2015,16682,,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 2.5µm,National total for the entire territory (based on fuel sold),Austria,2016,16378,,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 2.5µm,National total for the entire territory (based on fuel sold),Austria,2017,16221,,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 2.5µm,National total for the entire territory (based on fuel sold),Austria,2018,15200,,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 2.5µm,National total for the entire territory (based on fuel sold),Austria,2019,14940,,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 2.5µm,National total for the entire territory (based on fuel sold),Austria,2020,13703,,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 2.5µm,National total for the entire territory (based on fuel sold),Austria,2021,14876,,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 2.5µm,National total for the entire territory (based on fuel sold),Austria,2022,13448,,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 2.5µm,National total for the entire territory (based on fuel sold),Belgium,2013,25721,,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 2.5µm,National total for the entire territory (based on fuel sold),Belgium,2014,20898,,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 2.5µm,National total for the entire territory (based on fuel sold),Belgium,2015,22180,,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 2.5µm,National total for the entire territory (based on fuel sold),Belgium,2016,22049,,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 2.5µm,National total for the entire territory (based on fuel sold),Belgium,2017,20409,,
