DATAFLOW,LAST UPDATE,freq,unit,airpol,src_crf,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Austria,2013,69742.22,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Austria,2014,66142.53,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Austria,2015,68484.4,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Austria,2016,69542.08,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Austria,2017,71844.44,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Austria,2018,69091.66,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Austria,2019,70852.74,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Austria,2020,63219.95,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Austria,2021,66985.51,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Austria,2022,63456.14,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Belgium,2013,106628.65,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Belgium,2014,101083.64,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Belgium,2015,105666.79,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Belgium,2016,104119.06,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Belgium,2017,103991.42,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Belgium,2018,105302.79,,
ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,Carbon dioxide,"Total (excluding LULUCF and memo items, including international aviation)",Belgium,2019,104859.7,,
