DATAFLOW,LAST UPDATE,freq,unit,sex,age,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Austria,2015,75.1,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Austria,2016,75.4,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Austria,2017,76.2,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Austria,2018,77.4,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Austria,2019,78.0,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Austria,2020,76.5,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Austria,2021,76.7,b,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Austria,2022,78.0,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Austria,2023,77.9,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Austria,2024,77.5,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Bosnia and Herzegovina,2021,61.1,b,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Bosnia and Herzegovina,2022,62.7,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Bosnia and Herzegovina,2023,64.4,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Bosnia and Herzegovina,2024,66.1,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Belgium,2015,65.5,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Belgium,2016,66.5,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Belgium,2017,67.5,b,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Belgium,2018,68.2,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Belgium,2019,68.9,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Belgium,2020,68.4,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Belgium,2021,68.7,b,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Belgium,2022,69.8,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Belgium,2023,69.9,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Belgium,2024,70.2,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Bulgaria,2015,65.9,,
ESTAT:LFSA_ERGAED(1.0),14/04/25 23:00:00,Annual,Percentage,Males,From 15 to 64 years,All ISCED 2011 levels,Bulgaria,2016,66.7,,
