DATAFLOW,LAST UPDATE,freq,hhtyp,indic_il,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Albania,2017,1545,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Albania,2018,1676,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Albania,2019,1881,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Albania,2020,2171,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Albania,2021,2359,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Austria,2015,20797,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Austria,2016,20835,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Austria,2017,21900,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Austria,2018,22016,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Austria,2019,22846,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Austria,2020,23741,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Austria,2021,24229,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Austria,2022,24174,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Austria,2023,26176,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Austria,2024,28115,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Belgium,2015,17250,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Belgium,2016,17195,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Belgium,2017,17716,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Belgium,2018,18160,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Belgium,2019,18990,b,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Belgium,2020,19384,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Belgium,2021,19955,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Belgium,2022,20609,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Belgium,2023,22190,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Belgium,2024,23613,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Bulgaria,2015,2255,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Bulgaria,2016,2235,b,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Bulgaria,2017,2397,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Bulgaria,2018,2523,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Bulgaria,2019,2727,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Bulgaria,2020,2913,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Bulgaria,2021,3450,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Bulgaria,2022,3366,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Bulgaria,2023,4782,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Bulgaria,2024,5762,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Switzerland,2015,37062,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Switzerland,2016,40650,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Switzerland,2017,40842,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Switzerland,2018,39970,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Switzerland,2019,37585,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Switzerland,2020,38908,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Switzerland,2021,40050,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Switzerland,2022,41645,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Switzerland,2023,44682,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Cyprus,2015,12176,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Cyprus,2016,12274,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Cyprus,2017,12438,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Cyprus,2018,13886,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Cyprus,2019,14748,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Cyprus,2020,14424,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Cyprus,2021,14419,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Cyprus,2022,15412,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Cyprus,2023,15587,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Cyprus,2024,17482,b,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Czechia,2015,5641,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Czechia,2016,5826,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Czechia,2017,6101,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Czechia,2018,6655,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Czechia,2019,7195,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Czechia,2020,7749,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Czechia,2021,7916,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Czechia,2022,8736,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Czechia,2023,10316,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Czechia,2024,11763,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Germany,2015,16980,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Germany,2016,17176,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Germany,2017,17875,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Germany,2018,18844,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Germany,2019,19303,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Germany,2020,21140,b,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Germany,2021,21013,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Germany,2022,21243,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Germany,2023,22040,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Germany,2024,22800,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Denmark,2015,22518,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Denmark,2016,22998,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Denmark,2017,23517,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Denmark,2018,23930,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Denmark,2019,24701,,
ESTAT:ILC_DI04$DEFAULTVIEW(1.0),30/04/25 11:00:00,Annual,Single person,Median equivalised net income,Euro,Denmark,2020,24414,b,
