DATAFLOW,LAST UPDATE,freq,unit,isced11,hlth_pb,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Austria,2019,5.6,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Belgium,2019,9.0,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Bulgaria,2019,4.5,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Cyprus,2019,2.5,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Czechia,2019,4.2,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Germany,2019,9.1,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Denmark,2019,8.4,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Estonia,2019,8.2,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Greece,2019,2.6,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,Spain,2019,4.8,,
ESTAT:HLTH_EHIS_MH1E(1.0),16/06/23 23:00:00,Annual,Percentage,All ISCED 2011 levels,Depressive symptoms,Total,Total,European Union - 27 countries (from 2020),2019,7.0,,
