DATAFLOW,LAST UPDATE,freq,wst_oper,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Albania,2014,425,i,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Albania,2015,491,i,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Albania,2016,452,e,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Albania,2017,436,e,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Albania,2018,462,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Albania,2019,381,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Albania,2020,369,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Albania,2021,311,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Albania,2022,295,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Albania,2023,306,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Austria,2014,565,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Austria,2015,560,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Austria,2016,564,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Austria,2017,570,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Austria,2018,579,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Austria,2019,588,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Austria,2020,834,b,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Austria,2021,835,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Austria,2022,803,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Bosnia and Herzegovina,2014,349,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Bosnia and Herzegovina,2015,340,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Bosnia and Herzegovina,2016,354,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Bosnia and Herzegovina,2017,352,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Bosnia and Herzegovina,2018,356,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Bosnia and Herzegovina,2019,352,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Bosnia and Herzegovina,2020,346,e,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Bosnia and Herzegovina,2021,355,e,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Bosnia and Herzegovina,2022,343,e,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Belgium,2014,425,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Belgium,2015,412,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Belgium,2016,419,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Belgium,2017,411,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Belgium,2018,409,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Belgium,2019,416,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Belgium,2020,729,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Belgium,2021,755,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Belgium,2022,690,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Belgium,2023,689,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Bulgaria,2014,451,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Bulgaria,2015,431,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Bulgaria,2016,418,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Bulgaria,2017,453,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Bulgaria,2018,426,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Bulgaria,2019,465,i,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Bulgaria,2020,432,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Bulgaria,2021,470,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Bulgaria,2022,488,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Switzerland,2014,733,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Switzerland,2015,728,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Switzerland,2016,723,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Switzerland,2017,709,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Switzerland,2018,706,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Switzerland,2019,709,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Switzerland,2020,706,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Switzerland,2021,704,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Switzerland,2022,677,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Cyprus,2014,619,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Cyprus,2015,637,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Cyprus,2016,649,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Cyprus,2017,642,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Cyprus,2018,662,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Cyprus,2019,664,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Cyprus,2020,625,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Cyprus,2021,650,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Cyprus,2022,673,,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Cyprus,2023,674,p,
ESTAT:ENV_WASMUN(1.0),13/02/25 11:00:00,Annual,Waste generated,Kilograms per capita,Czechia,2014,310,,
