Country,GDP_per_capita,Unemployment_rate,Median_income,Poverty_rate,Inflation_rate,Life_expectancy,Health_expenditure,Obesity_rate,Hospital_beds,Mental_health,Tertiary_education,Student_teacher_ratio,Early_leavers,Adult_participation,Education_expenditure,CO2_emissions,Renewable_energy,Waste_recycling,Air_pollution,Environmental_taxes,Crime_rate,Poverty_social_exclusion,Deprivation_rate,Income_inequality,Gender_Employment_Gap
Austria,49490.0,4.95,23040.777777777777,14.8,121.07,81.4,29706.733999999997,52.7,718.9,5.6,18.6,12.7,8.4,58.0,4.8,63456.14,34.075,803.0,13448.0,1.9,0.72,17.5,2.8,27.8,8.0
Belgium,48260.0,5.5,21562.222222222223,13.2,123.26,81.8,36293.43,48.9,556.72,9.0,21.7,13.2,6.4,41.6,6.2,94259.04,13.816,690.0,17247.0,2.2,1.59,18.7,4.4,24.9,6.599999999999994
Bulgaria,26040.0,3.8499999999999996,6644.666666666667,22.9,123.52,74.2,3612.506,53.7,774.07,4.5,19.6,11.5,10.3,20.6,3.9,47588.46,19.044,488.0,28018.0,4.76,1.11,32.2,18.5,38.4,6.799999999999997
Croatia,17260.0,6.85,23380.666666666668,18.0,117.11,77.7,3405.204,58.1,566.48,8.7,16.0,10.2,2.1,27.3,5.0,18172.65,28.088,478.0,26216.0,3.36,0.8,19.9,3.1,28.5,8.900000000000006
Cyprus,31270.0,6.45,16216.333333333334,13.9,110.17,81.6,1561.408,47.9,311.47,2.5,18.4,13.5,8.2,44.9,4.8,7912.86,19.427,673.0,986.0,2.07,0.77,16.7,9.1,29.4,9.599999999999994
Czechia,655220.0,2.25,92905.55555555556,10.2,132.1,79.0,16597.332000000002,56.5,658.04,4.2,12.3,11.6,6.2,45.7,4.5,96525.31,18.123,570.0,55082.0,1.42,0.75,11.8,2.2,24.8,13.700000000000003
Denmark,481550.0,4.6,85588.88888888889,12.4,113.8,81.3,19415.396,54.6,259.29,8.4,25.8,10.3,10.0,53.0,5.3,30825.67,42.383,802.0,11221.0,2.36,1.0,17.1,5.4,27.7,4.5
Estonia,27360.0,5.65,12194.0,22.8,137.03,78.1,1590.536,57.4,453.01,8.2,16.9,12.113333333333333,10.8,48.1,5.7,11929.38,38.542,373.0,4910.0,2.54,1.35,25.2,4.4,31.9,2.200000000000003
Finland,47890.0,6.949999999999999,20597.777777777777,12.7,113.74,81.2,14118.506,59.8,334.59,6.5,18.1,7.6,8.4,53.1,5.8,38047.68,47.74,522.0,13384.0,2.45,1.5,16.3,2.4,26.6,0.7999999999999972
France,39010.0,7.2,18861.666666666668,15.6,114.04,82.3,215456.83599999998,46.4,583.79,10.8,21.3,21.9,7.6,50.8,5.0,316570.94,20.445,535.0,170238.0,2.01,1.21,20.7,8.2,29.8,5.200000000000003
